100,6
200,6
300,6
400,6
500,6
660,6
760,3
860,3
960,3
960,3
960,3
930,3
930,5
930,5
930,5
930,5
930,5
950,5
950,4
950,4
950,4
950,4
950,4
940,4
940,1
940,1
940,1
940,1
940,1
910,1
910,0
910,0
910,0
910,0
910,0
000,0
000,4
000,4
000,4
100,4
200,4
940,4
940,4
040,0
140,0
240,0
340,0
440,0
007,0
007,3
007,3
107,3
207,3
007,3
937,3
037,0
137,0
237,0
337,0
437,0
007,0
007,6
007,6
107,6
007,6
007,6
065,6
065,0
065,0
065,0
065,0
065,0
005,0
005,0
005,2
005,2
005,2
005,2
005,2
025,2
125,6
225,6
325,6
425,6
525,6
065,6
065,2
065,2
065,2
065,2
065,2
925,2
925,3
925,3
925,3
925,3
925,3
035,3
035,5
035,5
135,5
235,5
335,5
051,5
051,4
051,4
051,4
051,4
051,4
041,4
041,5
041,5
141,5
041,5
041,5
051,5
051,4
051,4
051,4
051,4
151,4
041,4
041,1
041,1
141,1
041,1
041,1
010,1
010,6
010,6
110,6
010,6
010,6
060,6
060,5
060,5
160,5
260,5
360,5
050,5
050,6
050,6
050,6
050,6
050,6
260,6
360,4
460,4
560,4
660,4
760,4
040,4
040,0
040,0
140,0
040,0
040,0
008,0
008,5
008,5
108,5
008,5
008,5
058,5
058,2
058,2
058,2
058,2
058,2
028,2
028,1
028,1
128,1
028,1
028,1
018,1
018,0
018,0
018,0
018,0
018,0
008,0
008,5
008,5
008,5
008,5
008,5
058,5
058,6
058,6
058,6
158,6
258,6
368,6
468,1
068,1
168,1
268,1
368,1
018,1
018,6
018,6
118,6
018,6
018,6
568,6
068,1
168,1
268,1
368,1
468,1
018,1
018,6
018,6
118,6
018,6
018,6
568,6
668,5
768,5
068,5
068,5
168,5
058,5
058,2
058,2
058,2
058,2
058,2
028,2
028,4
028,4
128,4
028,4
028,4
048,4
048,1
048,1
048,1
048,1
048,1
018,1
018,6
018,6
018,6
018,6
018,6
068,6
068,6
068,6
168,4
268,4
068,4
068,4
168,4
048,4
048,5
048,5
048,5
048,5
048,5
058,5
058,3
058,3
158,3
258,3
358,3
030,3
030,0
030,0
130,0
030,0
030,0
004,0
004,5
004,5
004,5
004,5
004,5
058,5
058,2
058,2
058,2
058,2
058,2
028,2
028,0
028,0
128,0
028,0
028,0
008,0
008,5
008,5
008,5
008,5
008,5
058,5
058,6
058,6
058,6
058,6
058,6
068,6
068,4
068,4
068,4
068,4
068,4
048,4
048,5
048,5
048,5
048,5
048,5
058,5
058,2
058,2
158,2
258,2
358,2
028,2
028,1
028,1
028,1
028,1
028,1
018,1
018,6
018,6
018,6
018,6
018,6
068,6
068,0
068,0
068,0
168,0
068,0
008,0
008,5
008,5
108,5
008,5
008,5
058,5
058,6
058,6
158,6
058,6
058,6
068,6
068,3
068,3
068,3
068,3
068,3
031,3
031,4
031,4
131,4
031,4
031,4
041,4
041,5
041,5
041,5
041,5
041,5
051,5
051,6
051,6
051,6
151,6
051,6
061,6
161,1
261,1
061,1
061,1
061,1
010,1
010,1
010,6
010,6
010,6
010,6
010,6
060,6
060,5
060,5
160,5
260,5
360,5
050,5
050,6
050,6
150,6
050,6
050,6
060,6
060,4
060,4
160,4
260,4
060,4
040,4
040,6
040,6
040,6
040,6
040,6
060,6
060,0
060,0
160,0
260,0
360,0
008,0
008,1
008,1
008,1
008,1
008,1
018,1
018,2
018,2
018,2
